Name,Baseball Reference ID,RetroSheet ID
A.J. Alexy,alexyaj01,alexa001
A.J. Ladwig,ladwiaj01,ladwa001
A.J. Minter,minteaj01,minta001
A.J. Puk,pukaj01,puk-a001
AJ Pollock,polloaj01,polla001
Aaron Ashby,ashbyaa01,ashba003
Aaron Brooks,brookaa01,brooa001
Aaron Bummer,bummeaa01,bumma001
Aaron Civale,civalaa01,civaa001
Aaron Fletcher,fletcaa01,fleta001
Aaron Hicks,hicksaa01,hicka001
Aaron Judge,judgeaa01,judga001
Aaron Loup,loupaa01,loupa001
Aaron Nola,nolaaa01,nolaa001
Aaron Sanchez,sanchaa01,sanca006
Aaron Whitefield,whiteaa01,whita002
Abraham Almonte,almonab01,almoa001
Abraham Toro,toroab01,toroa001
Adalberto Mondesí,mondera02,mondr003
Adam Cimber,cimbead01,cimba001
Adam Duvall,duvalad01,duvaa001
Adam Engel,engelad01,engea001
Adam Frazier,fraziad01,fraza001
Adam Haseley,haselad01,hasea001
Adam Kolarek,kolarad01,kolaa001
Adam Oller,ollerad01,ollea001
Adam Ottavino,ottavad01,ottaa001
Adam Wainwright,wainwad01,waina001
Adbert Alzolay,alzolad01,alzoa001
Adley Rutschman,rutscad01,rutsa001
Adolis García,garciad02,garca005
Adonis Medina,medinad01,media001
Adrian Houser,housead01,housa001
Adrian Sampson,sampsad01,sampa001
Adrián Martinez,martiad01,marta006
Adrián Morejón,morejad01,morea001
Akil Baddoo,baddoak01,badda001
Alan Trejo,trejoal01,treja001
Albert Abreu,abreual01,abrea001
Albert Almora,almoral01,almoa002
Albert Pujols,pujolal01,pujoa001
Alcides Escobar,escobal02,escoa003
Alec Bohm,bohmal01,bohma001
Alec Burleson,burleal01,burla001
Alec Mills,millsal02,milla003
Aledmys Díaz,diazal02,diaza003
Alejandro Kirk,kirkal01,kirka001
Alejo Lopez,lopezal03,lopea005
Alek Manoah,manoaal01,manoa001
Alek Thomas,thomaal01,thoma004
Alex Bregman,bregmal01,brega001
Alex Call,callal02,calla002
Alex Claudio,claudal01,claua001
Alex Cobb,cobbal01,cobba001
Alex Colomé,colomal01,coloa001
Alex Dickerson,dickeal01,dicka001
Alex Faedo,faedoal01,faeda001
Alex Jackson,jacksal02,jacka002
Alex Kirilloff,kirilal01,kiria001
Alex Lange,langeal01,langa001
Alex Verdugo,verdual01,verda001
Alex Vesia,vesiaal01,vesia001
Alex Wells,wellsal01,wella001
Alex Wood,woodal02,wooda002
Alex Young,youngal01,youna002
Alexis Díaz,diazal03,diaza004
Alfonso Rivas,rivasal01,rivaa001
Amed Rosario,rosaram01,rosaa003
Amir Garrett,garream01,garra001
Anderson Espinoza,espinan01,espia002
Anderson Severino,severan01,sevea002
Andre Jackson,jacksan01,jacka003
Andre Pallante,pallaan01,palla001
Andrelton Simmons,simmoan01,simma001
Andres Machado,machaan02,macha003
Andrew Bellatti,bellaan01,bella001
Andrew Benintendi,beninan01,benia002
Andrew Chafin,chafian01,chafa001
Andrew Heaney,heanean01,heana001
Andrew Kittredge,kittran01,kitta001
Andrew Knapp,knappan01,knapa001
Andrew Knizner,kniznan01,kniza001
Andrew McCutchen,mccutan01,mccua001
Andrew Nardi,nardian01,narda001
Andrew Vasquez,vasquan02,vasqa002
Andrew Vaughn,vaughan01,vauga001
Andrew Velazquez,velazan01,velaa001
Andrew Wantz,wantzan01,wanta001
Andrés Giménez,gimenan01,gimea001
Andrés Muñoz,munozan01,munoa002
Andy Ibáñez,ibanean01,ibana001
Aneurys Zabala,zabalan01,zabaa001
Angel De Jesus,dejesan01,dejea001
Angel Rondón,rondoan01,ronda001
Angel Zerpa,zerpaan01,zerpa001
Anthony Alford,alforan01,alfoa002
Anthony Banda,bandaan01,banda001
Anthony Bass,bassan01,bassa001
Anthony Bemboom,bemboan01,bemba001
Anthony Bender,bendean01,benda001
Anthony Castro,castran02,casta005
Anthony DeSclafani,desclan01,desca001
Anthony Gose,gosean01,gosea001
Anthony Kay,kayan01,kay-a001
Anthony Misiewicz,misiean01,misia001
Anthony Rendon,rendoan01,renda001
Anthony Rizzo,rizzoan01,rizza001
Anthony Santander,santaan02,santa003
Antonio Senzatela,senzaan01,senza001
Aníbal Sánchez,sanchan01,sanca004
Aramis Garcia,garciar01,garca006
Archie Bradley,bradlar01,brada001
Aristides Aquino,aquinar01,aquia001
Arodys Vizcaíno,vizcaar01,vizca001
Aroldis Chapman,chapmar01,chapa001
Art Warren,warrear01,warra002
Ashton Goudeau,goudeas01,gouda001
Austin Adams,adamsau02,adama002
Austin Allen,allenau01,allea001
Austin Barnes,barneau01,barna001
Austin Brice,briceau01,brica001
Austin Davis,davisau01,davia003
Austin Dean,deanau01,deana001
Austin Gomber,gombeau01,gomba001
Austin Hays,haysau01,haysa001
Austin Hedges,hedgeau01,hedga001
Austin Meadows,meadoau01,meada001
Austin Nola,nolaau01,nolaa002
Austin Pruitt,pruitau01,pruia001
Austin Riley,rileyau01,rilea001
Austin Romine,rominau01,romia002
Austin Slater,slateau01,slata001
Austin Voth,vothau01,votha001
Austin Warren,warreau01,warra003
Austin Wynns,wynnsau01,wynna001
Avisaíl García,garciav01,garca003
Bailey Falter,falteba01,faltb001
Bailey Ober,oberba01,oberb002
Beau Brieske,briesbe01,brieb001
Beau Sulser,sulsebe01,sulsb001
Ben DeLuzio,deluzbe01,delub001
Ben Gamel,gamelbe01,gameb001
Bennett Sousa,sousabe01,sousb001
Billy Hamilton,hamilbi02,hamib001
Billy McKinney,mckinbi01,mckib001
Blake Snell,snellbl01,snelb001
Blake Taylor,taylobl01,taylb004
Blake Treinen,treinbl01,treib001
Bligh Madris,madribl01,madrb002
Bo Bichette,bichebo01,bichb001
Bo Naylor,naylobo01,naylb001
Bobby Bradley,bradlbo01,bradb002
Bobby Dalbec,dalbebo01,dalbb001
Bobby Witt,wittbo02,wittb002
Bowden Francis,francbo01,franb002
Brad Boxberger,boxbebr01,boxbb001
Brad Hand,handbr01,handb001
Brad Keller,kellebr01,kellb003
Brad Miller,millebr02,millb002
Bradley Zimmer,zimmebr01,zimmb001
Brady Singer,singebr01,singb001
Brandon Belt,beltbr01,beltb001
Brandon Bielak,bielabr01,bielb001
Brandon Crawford,crawfbr01,crawb001
Brandon Dixon,dixonbr01,dixob001
Brandon Drury,drurybr01,drurb001
Brandon Hughes,hughebr01,hughb002
Brandon Lowe,lowebr01,loweb001
Brandon Marsh,marshbr02,marsb002
Brandon Nimmo,nimmobr01,nimmb001
Brandon Woodruff,woodrbr01,woodb005
Braxton Garrett,garrebr01,garrb001
Brayan Bello,bellobr01,bellb002
Brendan Donovan,donovbr01,donob001
Brendan Rodgers,rodgebr02,rodgb002
Brendon Davis,davisbr04,davib006
Brendon Little,littlbr02,littb002
Brennan Bernardino,bernabr01,bernb001
Brent Rooker,rookebr01,rookb001
Brent Suter,suterbr01,suteb001
Brett Baty,batybr01,batyb001
Brett Martin,martibr01,martb002
Brett Phillips,phillbr02,philb002
Brewer Hicklen,hicklbr01,hickb003
Brian Anderson,anderbr06,andeb006
Brian Moran,moranbr01,morab001
Brian O'Keefe,okeefbr01,okeeb001
Brian Serven,servebr01,servb001
Brock Burke,burkebr01,burkb001
Brooks Raley,raleybr01,raleb001
Bruce Zimmermann,zimmebr02,zimmb002
Brusdar Graterol,gratebr01,gratb002
Bryan Abreu,abreubr01,abreb002
Bryan Baker,bakerbr01,bakeb001
Bryan De La Cruz,delacbr01,delab001
Bryan Garcia,garcibr01,garcb001
Bryan Hoeing,hoeinbr01,hoeib001
Bryan Lavastida,lavasbr01,lavab001
Bryan Reynolds,reynobr01,reynb001
Bryan Shaw,shawbr01,shawb001
Bryce Elder,elderbr01,eldeb001
Bryce Harper,harpebr03,harpb003
Bryce Johnson,johnsbr03,johnb005
Bryce Montes de Oca,montebr01,montb001
Bryse Wilson,wilsobr02,wilsb003
Bryson Stott,stottbr01,stotb001
Bubba Thompson,thompbu01,thomb003
Bubby Rossman,rossmbu01,rossb001
Buck Farmer,farmebu01,farmb001
Buddy Kennedy,kennebu01,kennb002
